Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Terrapene carolina triunguis	Three-toed box turtle	isolate: 2854851, sex: male	2587831	T_m_triunguis-2.0	GCA_002925995.2	GenBank		Scaffold	76614	2571267249	2018-09-21		PRJNA415469	SAMN08285364
Empidonax traillii	willow flycatcher	ecotype: Southwest subspecies, isolate: 1590-97213	164674	ASM303162v1	GCA_003031625.1	GenBank		Scaffold	86564	1123485537	2018-04-03		PRJNA437496	SAMN08663748
Sphenodon punctatus	tuatara	isolate: mauimua-1, sex: male	8508	ASM311381v1	GCA_003113815.1	GenBank		Scaffold	27065	4272214985	2018-05-10		PRJNA418887	SAMN08038466
Paroedura picta			143630	Ppicta_assembly_v1	GCA_003118565.1	GenBank	From INSDC submitter	Scaffold	15225	1694157353	2018-03-22	26739	PRJDB5392	SAMD00069447
Athene cunicularia	burrowing owl	isolate: RWA, sex: male	194338	athCun1	GCA_003259725.1	GenBank		Scaffold	64091	1157069330	2018-06-21		PRJNA431202	SAMN08961563
Spheniscus magellanicus	Magellanic penguin	isolate: CH406B	37081	ASM326453v1	GCA_003264535.1	GenBank		Scaffold	22336	1209851208	2018-06-25		PRJNA382168	SAMN06701111
Spheniscus humboldti	Humboldt's penguin	isolate: CH48	9240	ASM326454v1	GCA_003264545.1	GenBank		Scaffold	22341	1209857164	2018-06-25		PRJNA382168	SAMN06701109
Pygoscelis antarcticus	chinstrap penguin	isolate: B190A	79643	ASM326455v1	GCA_003264555.1	GenBank		Scaffold	22336	1209850003	2018-06-25		PRJNA382168	SAMN06701107
Pygoscelis antarcticus	chinstrap penguin	isolate: B303A	79643	ASM326459v1	GCA_003264595.1	GenBank		Scaffold	22340	1209830009	2018-06-25		PRJNA382168	SAMN06701106
Pygoscelis papua	Gentoo penguin	isolate: ELE206	30457	ASM326461v1	GCA_003264615.1	GenBank		Scaffold	22339	1209909388	2018-06-25		PRJNA382168	SAMN06701104
Pygoscelis adeliae	Adelie penguin	isolate: AROSS103	9238	ASM326463v1	GCA_003264635.1	GenBank		Scaffold	22343	1209911007	2018-06-25		PRJNA382168	SAMN06701103
Spheniscus mendiculus	Galapagos penguin	isolate: GP692	156760	ASM326465v1	GCA_003264655.1	GenBank		Scaffold	22339	1209845584	2018-06-25		PRJNA382168	SAMN06701113
Pygoscelis adeliae	Adelie penguin	isolate: acrt75a	9238	ASM326466v1	GCA_003264665.1	GenBank		Scaffold	22339	1209911879	2018-06-25		PRJNA382168	SAMN06701102
Pygoscelis papua	Gentoo penguin	isolate: GGV29	30457	ASM326468v1	GCA_003264685.1	GenBank		Scaffold	22342	1209810801	2018-06-25		PRJNA382168	SAMN06701105
Spheniscus magellanicus	Magellanic penguin	isolate: CH487B	37081	ASM326471v1	GCA_003264715.1	GenBank		Scaffold	22337	1209860780	2018-06-25		PRJNA382168	SAMN06701112
Spheniscus humboldti	Humboldt's penguin	isolate: PE12	9240	ASM326473v1	GCA_003264735.1	GenBank		Scaffold	22339	1209849151	2018-06-25		PRJNA382168	SAMN06701108
Spheniscus magellanicus	Magellanic penguin	isolate: CH27B	37081	ASM326475v1	GCA_003264755.1	GenBank		Scaffold	22337	1209860343	2018-06-25		PRJNA382168	SAMN06701110
Chlorodrepanis virens	Hawaii amakihi	isolate: USGS aluminum band 1771-10606, sex: female	64799	ASM328649v1	GCA_003286495.1	GenBank		Scaffold	23480	1086507881	2018-07-02		PRJNA252695	SAMN02854552
Eudromia elegans	elegant crested-tinamou	isolate: 44215, sex: male	8805	eudEle1	GCA_003342815.1	GenBank		Scaffold	126242	955514612	2018-07-26		PRJNA433110	SAMN08476458
Rhea pennata	lesser rhea	isolate: 206185, sex: male	8795	rhePen1	GCA_003342835.1	GenBank		Scaffold	68142	1168291008	2018-07-26		PRJNA433110	SAMN08476461
Nothoprocta perdicaria		isolate: Ctin4, sex: male	30464	notPer1	GCA_003342845.1	GenBank		Scaffold	95599	965904370	2018-07-26		PRJNA433110	SAMN08476459
Casuarius casuarius	southern cassowary	isolate: B32419, sex: female	8787	casCas1	GCA_003342895.1	GenBank		Scaffold	165721	1209001349	2018-07-26		PRJNA433110	SAMN08476455
Dromaius novaehollandiae	emu	isolate: 6597, sex: male	8790	droNov1	GCA_003342905.1	GenBank		Scaffold	172131	1192237364	2018-07-26		PRJNA433110	SAMN08476457
Crypturellus cinnamomeus		isolate: 337707, sex: male	889801	cryCin1	GCA_003342915.1	GenBank		Scaffold	60620	1122047781	2018-07-26		PRJNA433110	SAMN08476456
Apteryx owenii	little spotted kiwi	isolate: O20599, sex: male	8824	aptOwe1	GCA_003342965.1	GenBank		Scaffold	138403	1231276503	2018-07-26		PRJNA433110	SAMN08476453
Apteryx haastii	Great spotted kiwi	isolate: R29945, sex: male	8823	aptHaa1	GCA_003342985.1	GenBank		Scaffold	120127	1221441152	2018-07-26		PRJNA433110	SAMN08476452
Rhea americana	greater rhea	isolate: MKP2758, sex: male	8797	rheAme1	GCA_003343005.1	GenBank		Scaffold	88762	1160836514	2018-07-26		PRJNA433110	SAMN08476460
Apteryx rowi	Okarito brown kiwi	isolate: R43461, sex: male	308060	aptRow1	GCA_003343035.1	GenBank		Scaffold	129376	1228902913	2018-07-26		PRJNA433110	SAMN08476454
Chlamydotis undulata undulata		ecotype: North Africa, sex: male	187383	REN_Cundu_1.1	GCA_003400225.2	GenBank		Scaffold	90121	1167170754	2020-12-15		PRJNA473697	SAMN09281226
Crotalus viridis viridis	prairie rattlesnake	sex: male	8742	UTA_CroVir_3.0	GCA_003400415.2	GenBank		Chromosome	14888	1340198908	2019-01-08		PRJNA413201	SAMN07738522
Protobothrops flavoviridis	habu	sex: female	88087	HabAm_1.0	GCA_003402635.1	GenBank		Scaffold	18879	1413200976	2018-08-02		PRJDB5507	SAMD00115727
Corvus hawaiiensis	hawaiian crow	isolate: Ho'ike i ka pono, sex: male	134902	Coha_1.0	GCA_003402825.1	GenBank		Contig	7737654	1064970991	2018-08-16		PRJNA475267	SAMN09383001
Chrysolophus pictus	golden pheasant	breed: wild golden pheasant, sex: male	9089	Chrysolophus_pictus_GenomeV1.0	GCA_003413605.1	GenBank		Scaffold	38217	1023990748	2018-08-20		PRJNA257945	SAMN02980944
Eopsaltria australis	eastern yellow robin	isolate: EYR054, sex: female	44318	eyr_v1	GCA_003426825.1	GenBank		Scaffold	641411	1228344903	2018-08-23		PRJNA476023	SAMN09425179
Syrmaticus mikado	Mikado pheasant	isolate: TWDZ01, sex: female	9065	NTU_Smik_1.2	GCA_003435085.1	GenBank		Scaffold	107959	1066426119	2018-08-31		PRJNA389983	SAMN07211794
Thermophis baileyi		ecotype: Yangbajing, isolate: 1-13, sex: female	527827	DSBC_Tbai_1.0	GCA_003457575.1	GenBank		Scaffold	18227	1747678728	2018-09-05		PRJNA473624	SAMN09279788
Mixornis gularis	Striped tit-babbler	isolate: PRS3255, sex: female	1948886	ASM354603v1	GCA_003546035.1	GenBank		Scaffold	71550	1036102025	2018-09-11		PRJNA392017	SAMN07281160
Salvator merianae	Argentine black and white tegu	sex: male, strain: LG2117	96440	HLtupMer6	GCA_003586115.2	GenBank		Scaffold	500019	2068170046	2018-12-11		PRJNA473319	SAMN09273531
Chelonoidis abingdonii	Abingdon island giant tortoise	isolate: Lonesome George, sex: male	106734	ASM359739v1	GCA_003597395.1	GenBank		Scaffold	73186	2300739315	2018-09-25		PRJNA416050	SAMN07840320
Chloebia gouldiae	Gouldian finch	isolate: Red01, sex: male	44316	GouldianFinch	GCA_003676055.1	GenBank	From INSDC submitter	Scaffold	137954	1070785140	2018-10-23	18989	PRJNA478907	SAMN09689584
Hirundo rustica rustica		isolate: Chelidonia, sex: female	333673	Chelidonia	GCA_003692655.1	GenBank	From INSDC submitter	Scaffold	6124600	1213743879	2018-10-29	35006	PRJNA481100	SAMN09657529
Calidris pygmaea	Spoon-billed sandpiper	sex: female, strain: Meinypilgyno	425635	ASM369795v1	GCA_003697955.1	GenBank		Scaffold	189165	1178350366	2018-10-30		PRJNA419629	SAMN09355691
Paradisaea rubra	red bird of paradise	isolate: F686, sex: female	39963	ParRub_1.0	GCA_003713215.1	GenBank		Scaffold	415330	1071261504	2018-11-06		PRJNA491255	SAMN10096786
Paradisaea raggiana	Raggiana bird of paradise	isolate: B10K-DU-002-22, sex: female	36268	ParRag_1.0	GCA_003713265.1	GenBank		Scaffold	96622	1037508133	2018-11-06		PRJNA491255	SAMN10096787
Diphyllodes magnificus		isolate: F569, sex: female	28716	DipMag_1.0	GCA_003713285.1	GenBank		Scaffold	241639	1065979660	2018-11-06		PRJNA491255	SAMN10096783
Parotia lawesii	Lawes's parotia	isolate: F631, sex: female	39961	ParLaw_1.0	GCA_003713295.1	GenBank		Scaffold	432029	1056922331	2018-11-06		PRJNA491255	SAMN10096785
Cicinnurus regius	king bird of paradise	isolate: F628, sex: female	36263	CicReg_1.0	GCA_003713305.1	GenBank		Scaffold	465502	1059540104	2018-11-06		PRJNA491255	SAMN10096784
Junco hyemalis	dark-eyed junco	ecotype: carolinensis	40217	ASM382977v1	GCA_003829775.1	GenBank		Scaffold	80164	958315288	2018-11-26		PRJNA493001	SAMN10120167
Cuora mccordi	McCord's box turtle	isolate: ISIS_951048, sex: male	241437	ASM384633v1	GCA_003846335.1	GenBank		Scaffold	74338	2390374423	2018-11-28		PRJNA491715	SAMN10392581
Anas platyrhynchos	mallard	isolate: PK-2015	8839	IASCAAS_PekingDuck_PBH1.5	GCA_003850225.1	GenBank		Chromosome	36811	1126159488	2018-11-29		PRJNA496533	SAMN10245527
Platysternon megacephalum	big-headed turtle	isolate: DO16091913, sex: male	55544	ASM394214v1	GCA_003942145.1	GenBank	From INSDC submitter	Scaffold	213602	2319087892	2018-12-12	21529	PRJNA479402	SAMN09536731
Pipra filicauda	Wire-tailed manakin	isolate: LSUMZ 115617, sex: male	649802	ASM394559v2	GCA_003945595.2	GenBank		Scaffold	1677444	1081944082	2020-12-01		PRJNA445296	SAMN08774045
Corapipo altera	White-ruffed manakin	isolate: COAL_440, sex: female	415028	ASM394572v1	GCA_003945725.1	GenBank		Scaffold	262501	1095745976	2018-12-14		PRJNA505529	SAMN10424454
Amazona collaria	yellow-billed parrot	isolate: JAMY3	241587	ASM394721v1	GCA_003947215.1	GenBank		Scaffold	208912	1258720284	2018-12-14		PRJNA490036	SAMN10023852
Taeniopygia guttata	zebra finch	isolate: Black17, sex: male	59729	bTaeGut1_v1.h	GCA_003957525.1	GenBank		Scaffold	3004452	965644423	2018-12-20		PRJNA489099	SAMN02981239
Calypte anna	Anna's hummingbird	isolate: BGI_N300, sex: female	9244	bCalAnn1_v1.p	GCA_003957555.2	GenBank		Chromosome	14522327	1059687259	2019-05-17		PRJNA489139	SAMN02265252
Taeniopygia guttata	zebra finch	isolate: Black17, sex: male	59729	bTaeGut1.pri.v2	GCA_003957565.3	GenBank		Chromosome	11998827	1057995280	2019-05-17		PRJNA489098	SAMN02981239
Calypte anna	Anna's hummingbird	isolate: BGI_N300, sex: female	9244	bCalAnn1_v1.h	GCA_003957575.1	GenBank		Scaffold	1463522	952083371	2018-12-20		PRJNA489140	SAMN02265252
Neopelma chrysocephalum	saffron-crested tyrant-manakin	sex: female	114329	ASM398488v2	GCA_003984885.2	GenBank		Scaffold	237029	1142796179	2018-12-28		PRJNA445439	SAMN08784363
Himantopus leucocephalus		isolate: B60480	507594	UO_Hhiman_2.0	GCA_003993805.1	GenBank		Scaffold	36551	1116806074	2019-01-04		PRJNA503940	SAMN10386166
Strigops habroptila	Kakapo	isolate: Jane, sex: female	2489341	bStrHab1_v1.h	GCA_004011185.1	GenBank		Scaffold	153928	285706558	2019-01-10		PRJNA489134	SAMN09948751
Hydrophis cyanocinctus	Asian annulated sea snake	isolate: QH_1-3	8686	ASM402372v1	GCA_004023725.1	GenBank		Scaffold	3626	1389857256	2019-01-15		PRJNA506024	SAMN10441167
Recurvirostra avosetta	Pied Avocet	isolate: S068744-2018	171275	ASM402374v1	GCA_004023745.1	GenBank		Scaffold	10462	1193282475	2019-01-15		PRJNA508229	SAMN10518521
Hydrophis hardwickii	Hardwick's sea snake	isolate: PK_1-3	8781	ASM402376v1	GCA_004023765.1	GenBank		Scaffold	2852	1296394113	2019-01-15		PRJNA506024	SAMN10441168
Strigops habroptila	Kakapo	isolate: Jane, sex: female	2489341	bStrHab1.2.pri	GCA_004027225.2	GenBank		Chromosome	9454087	1148597545	2020-03-04		PRJNA489135	SAMN09948751
Cuora amboinensis	Amboina box turtle	sex: male	74909	ASM402862v2	GCA_004028625.2	GenBank		Scaffold	47152	2214832461	2019-03-22		PRJNA511034	SAMN10722981
Phasianus colchicus	Ring-necked pheasant	isolate: SZU-A5-319, sex: male	9054	ASM414374v1	GCA_004143745.1	GenBank		Scaffold	197843	1017507340	2019-02-06		PRJNA449162	SAMN08888240
Emydocephalus ijimae			34996	emyIji_1.0	GCA_004319985.1	GenBank		Scaffold	18545	1625199642	2019-01-09		PRJDB7221	SAMD00132326
Hydrophis melanocephalus			34990	hydMel_1.0	GCA_004320005.1	GenBank		Scaffold	7411	1402639853	2019-02-13		PRJDB7271	SAMD00134211
Laticauda laticaudata	blue-ringed sea krait		8630	latLat_1.0	GCA_004320025.1	GenBank		Scaffold	35581	1558706106	2019-01-09		PRJDB7226	SAMD00132327
Laticauda colubrina	yellow-lipped sea krait		8628	latCor_1.0	GCA_004320045.1	GenBank		Scaffold	26721	2024687924	2019-01-09		PRJDB7284	SAMD00134349
Scolopax mira	Amami woodcock		1381582	Scolopax mira_ver1.0	GCA_004320125.1	GenBank		Scaffold	61187	1091292641	2019-02-15		PRJDB7801	SAMD00156786
Accipiter nisus	Eurasian sparrowhawk		211598	Accipiter nisus_ver1.0	GCA_004320145.1	GenBank		Scaffold	35336	1190649881	2019-02-16		PRJDB7807	SAMD00156791
Dendrocopos noguchii	Okinawa woodpecker		1517798	Dendrocopos noguchii_ver1.0	GCA_004320165.1	GenBank		Scaffold	18451	1134561427	2019-02-16		PRJDB7802	SAMD00156787
Haliaeetus albicilla	white-tailed eagle		8969	Haliaeetus albicilla_ver1.0	GCA_004320185.1	GenBank		Scaffold	53802	1196539455	2019-02-16		PRJDB7806	SAMD00156790
Lagopus muta japonica			1604048	Lagopus muta japonica_ver1.0	GCA_004320205.1	GenBank		Scaffold	56225	1002559668	2019-02-15		PRJDB7799	SAMD00156785
Bubo blakistoni	Blakiston's fish-owl		1564486	Bubo blakistoni_ver1.0	GCA_004320225.1	GenBank		Scaffold	65049	1193862756	2019-02-16		PRJDB7800	SAMD00160568
Podarcis muralis	Common wall lizard	ecotype: yellow, sex: male	64176	PodMur_1.0	GCA_004329235.1	GenBank		Chromosome	714612	1511002858	2019-03-07		PRJNA515813	SAMN10820182
Grus nigricollis	black-necked crane	isolate: BSYUE-LAB-201903, sex: female	40817	ASM436023v1	GCA_004360235.1	GenBank		Scaffold	17886166	1230910289	2019-03-22		PRJNA523951	SAMN11096029
Varanus komodoensis	Komodo dragon	sex: male, strain: SLA01	61221	ASM479886v1	GCA_004798865.1	GenBank	From INSDC submitter	Scaffold	189463	1507945839	2019-04-17	18293	PRJNA523222	SAMN10967258
Pavo cristatus	Indian peafowl	isolate: SKPea2016_SI, sex: male	9049	AIIM_Pcri_1.0	GCA_005519975.1	GenBank		Scaffold	103131	1027510962	2019-05-20		PRJNA413288	SAMN07739105
Lonchura striata domestica	Bengalese finch	isolate: Mets1, sex: male	299123	lonStrDom2	GCA_005870125.1	GenBank		Chromosome	100423	1060252993	2019-06-05		PRJNA369279	SAMN11521339
Centrocercus minimus	Gunnison sage-grouse	isolate: UT7, sex: male	211967	Cmin_1.0	GCA_005890655.1	GenBank		Scaffold	3500535	1000026669	2019-06-14		PRJNA529426	SAMN11266852
Branta canadensis	Canada goose	isolate: SJ_97	8853	GSC_cangoose_1.0	GCA_006130075.1	GenBank		Scaffold	220846	1153386549	2019-06-05		PRJNA524684	SAMN11031539
Anser indicus	Bar-headed goose	isolate: heart tissue	8846	ASM622913v1	GCA_006229135.1	GenBank		Scaffold	120377	1143091872	2019-06-11		PRJNA542959	SAMN11890447
Dermochelys coriacea	leatherback sea turtle	isolate: 2018-Dc-14, sex: female	27794	GSC_toitle_1.0	GCA_006547105.1	GenBank		Scaffold	45261	2154166173	2019-07-01		PRJNA528992	SAMN11567340
Anomalopteryx didiformis	little bush moa	isolate: TW95	8811	anoDid_nucDNA_orig	GCA_006937325.1	GenBank		Scaffold	824	1190759065	2019-07-12		PRJNA433423	SAMN08482543
Anomalopteryx didiformis	little bush moa	isolate: TW95	8811	anoDid_nucDNA_mapDamage	GCA_006938045.1	GenBank		Scaffold	774	1189933016	2019-07-12		PRJNA534317	SAMN08482543
Serinus canaria	Common canary	ecotype: domestic yellow, isolate: sc_yellow_7_cibi, sex: male	9135	cibio_Scana_2019	GCA_007115625.1	GenBank		Scaffold	90869	1071638426	2019-07-29		PRJNA548289	SAMN12017177
Zosterops borbonicus		ecotype: Highland grey morph, isolate: HGM_15179, sex: female	364589	ZoBo_15179_v2.0	GCA_007252995.1	GenBank	From INSDC submitter	Scaffold	20903	1213662640	2019-07-22	22558	PRJNA530916	SAMN11339519
Gopherus evgoodei	Goodes thornscrub tortoise	ecotype: Sinaloan lineage, sex: male	1825980	rGopEvg1_v1.alt	GCA_007399395.1	GenBank		Contig	655454	1961129424	2019-07-24		PRJNA489104	SAMN03496275
Gopherus evgoodei	Goodes thornscrub tortoise	ecotype: Sinaloan lineage, sex: male	1825980	rGopEvg1_v1.p	GCA_007399415.1	GenBank		Chromosome	13026736	2298547364	2019-07-25		PRJNA489103	SAMN03496275
Zosterops pallidus	pale white-eye	sex: female	43580	ZoPa_MNHNZO2015-572_v1.0	GCA_007556475.1	GenBank		Scaffold	26333	1149599252	2019-07-26		PRJNA530916	SAMN11339534
Tachycineta bicolor	Tree swallow	ecotype: Ithaca, isolate: 2401-50270	72873	CLO_TRES_1	GCA_007636935.1	GenBank		Scaffold	16265	1135351544	2019-07-30		PRJNA553513	SAMN12236919
Varanus komodoensis	Komodo dragon	isolate: Tujah, sex: male	61221	VCOM_VKom_1.0	GCA_007859595.1	GenBank		Scaffold	37135	1606418949	2019-08-07		PRJNA490211	SAMN10030706
Mesoclemmys tuberculata	tuberculate toadhead turtle	sex: male	904206	Mesoclemmys_tuberculata-1.0	GCA_007922155.1	GenBank		Scaffold	146430	2027505490	2019-08-05		PRJNA512125	SAMN10734026
Chelydra serpentina	Common snapping turtle	sex: male	8475	Chelydra_serpentina-1.0	GCA_007922165.1	GenBank		Scaffold	80593	2401360239	2019-08-05		PRJNA512119	SAMN10724079
Pelusios castaneus	West African mud turtle	sex: male	367368	Pelusios_castaneus-1.0	GCA_007922175.1	GenBank		Scaffold	74864	2044278682	2019-08-01		PRJNA512121	SAMN10724078
Carettochelys insculpta	pitted-shelled turtle	sex: male	44489	Carettochelys_insculpta-1.0	GCA_007922185.1	GenBank		Scaffold	116202	2356570494	2019-08-05		PRJNA512133	SAMN10723924
Podocnemis expansa		sex: male	44507	Podocnemis_expansa-1.0	GCA_007922195.1	GenBank		Scaffold	134824	2447092617	2019-08-05		PRJNA512135	SAMN10723688
Emydura subglobosa		sex: male	251359	Emydura_subglobosa-1.0	GCA_007922225.1	GenBank		Scaffold	350989	1986702056	2019-08-05		PRJNA512130	SAMN10723686
Dermatemys mawii		sex: male	55550	Dermatemys_mawii-1.0	GCA_007922305.1	GenBank		Scaffold	183958	1866975060	2019-08-05		PRJNA512129	SAMN10723923
Pseudorectes ferrugineus	Rusty pitohui	isolate: Z43706, sex: female	1743254	NUS_rp_v1	GCA_008033365.1	GenBank		Scaffold	10773	995897499	2019-08-20		PRJNA487682	SAMN09908057
Lichenostomus cassidix	helmeted honeyeater	isolate: B80296, sex: female	1497555	HeHo_1.0	GCA_008360975.1	GenBank		Scaffold	7673876	1102302466	2019-09-09		PRJNA554936	SAMN12287370
Alca torda	razorbill	isolate: 2006_11_07_Graehlm_vinge_78, sex: male	28689	bAlcTor1 alternate	GCA_008658355.1	GenBank		Contig	1949609	1220378950	2019-09-23		PRJNA554521	SAMN12292087
Alca torda	razorbill	isolate: 2006_11_07_Graehlm_vinge_78, sex: male	28689	bAlcTor1 primary	GCA_008658365.1	GenBank		Chromosome	18221265	1178473458	2019-10-10		PRJNA554520	SAMN12292087
Colinus virginianus	northern bobwhite	isolate: B-91918, sex: female	9014	Cv_LA_1.0	GCA_008692595.1	GenBank		Scaffold	136674	866250717	2019-10-07		PRJNA454855	SAMN09044008
Cyanoderma ruficeps	rufous-capped babbler	isolate: SRU082, sex: female	181631	ASM869450v1	GCA_008694505.1	GenBank		Scaffold	194313	1041446934	2019-09-25		PRJNA573563	SAMN12816971
Charadrius alexandrinus	Kentish plover	isolate: SYSb1531, sex: female	50392	ASM871129v1	GCA_008711295.1	GenBank		Scaffold	129786	1231940710	2019-09-27		PRJNA564483	SAMN12714389
Anas platyrhynchos	mallard	breed: mallard, isolate: CAU-Wild1.0, sex: female	8839	CAU__Wild1.0	GCA_008746955.1	GenBank		Chromosome	11467013	1211992756	2019-10-07		PRJNA554956	SAMN12287667
Taeniopygia guttata	zebra finch	isolate: Blue55, sex: female	59729	bTaeGut2.pat.W.v2	GCA_008822105.2	GenBank		Chromosome	4378277	1068971253	2020-02-21		PRJNA555095	SAMN09946140
Taeniopygia guttata	zebra finch	isolate: Blue55, sex: female	59729	bTaeGut2.mat.v3	GCA_008822115.3	GenBank		Chromosome	5533763	995935930	2020-02-21		PRJNA489100	SAMN09946140
Taeniopygia guttata	zebra finch	isolate: Blue55, sex: female	59729	bTaeGut2pat	GCA_008822125.1	GenBank		Chromosome	4443179	1047569904	2019-10-03		PRJNA489101	SAMN09946140
Burhinus oedicnemus	Eurasian thick-knee	ecotype: Morocco, isolate: B10M00005, sex: female	85105	REN_Boedic_1.0	GCA_008921705.1	GenBank		Scaffold	93678	1228108199	2019-10-08		PRJNA473697	SAMN11554498
Cairina moschata domestica	Muscovy Duck (domestic type)	isolate: CanardBarbarie3_02_2015_G	1240228	CaiMos1.0	GCA_009194515.1	GenBank		Chromosome	89133	1109207201	2019-11-25		PRJNA417448	SAMN08035743
Actinemys marmorata	Northwestern pond turtle	sex: female	335395	Amar_v1	GCA_009430475.1	GenBank		Scaffold	59125	2388727788	2019-10-31		PRJNA512124	SAMN10724089
Anthochaera phrygia	Regent honeyeater	ecotype: Blue Mountains, sex: female	2020318	ANU_Anthochaera_phrygia_1.0	GCA_009430485.1	GenBank		Scaffold	944	815187911	2019-10-31		PRJNA549051	SAMN12070213
Corvus moneduloides	New Caledonian crow	isolate: NC3	1196302	UO_Cmon_1.0	GCA_009650515.1	GenBank		Scaffold	331397	1056558033	2019-11-12		PRJNA557728	SAMN12418287
Corvus moneduloides	New Caledonian crow	isolate: bCorMon1, sex: female	1196302	bCorMon1.pri	GCA_009650955.1	GenBank		Chromosome	11524098	1112734094	2019-11-14		PRJNA560983	SAMN12368441
Corvus moneduloides	New Caledonian crow	isolate: bCorMon1, sex: female	1196302	bCorMon1.alt	GCA_009651025.1	GenBank		Contig	2563033	905198257	2019-11-12		PRJNA560982	SAMN12368441
Hemignathus wilsoni	Akiapolaau	isolate: USGS band number 1581-74856, sex: male	2518271	HemiWil1.0	GCA_009690805.1	GenBank		Scaffold	69851	1032496179	2019-11-22		PRJNA520783	SAMN10867508
Naja naja	Indian cobra	isolate: NN01, sex: male	35670	Nana_v5	GCA_009733165.1	GenBank		Chromosome	302474	1768535092	2019-12-11		PRJNA527614	SAMN11155092
Malurus cyaneus samueli		sex: female	2593467	mCya_1.0	GCA_009741485.1	GenBank		Chromosome	210412	1078874851	2019-12-12		PRJNA553115	SAMN12217597
Dermochelys coriacea	leatherback sea turtle	isolate: rDerCor1, sex: male	27794	rDerCor1.alt.v2	GCA_009762595.2	GenBank		Scaffold	246490	1444786651	2020-12-08		PRJNA561994	SAMN12629498
Tauraco erythrolophus	red-crested turaco	isolate: bTauEry1, sex: female	121530	bTauEry1.alt	GCA_009764505.1	GenBank		Contig	1233539	1084112861	2019-12-18		PRJNA561948	SAMN12621036
Geothlypis trichas	common yellowthroat	isolate: bGeoTri1, sex: female	135433	bGeoTri1.alt	GCA_009764545.1	GenBank		Scaffold	1049351	976433058	2019-12-18		PRJNA589704	SAMN12631222
Dermochelys coriacea	leatherback sea turtle	isolate: rDerCor1, sex: male	27794	rDerCor1.pri.v3	GCA_009764565.3	GenBank		Chromosome	7029801	2164762090	2020-12-08		PRJNA561993	SAMN12629498
Geothlypis trichas	common yellowthroat	isolate: bGeoTri1, sex: female	135433	bGeoTri1.pri	GCA_009764595.1	GenBank		Chromosome	3247339	1078128490	2019-12-19		PRJNA589703	SAMN12631222
Tauraco erythrolophus	red-crested turaco	isolate: bTauEry1, sex: female	121530	bTauEry1.pri	GCA_009769465.1	GenBank		Chromosome	11927027	1252271553	2019-12-19		PRJNA561947	SAMN12621036
Cygnus olor	mute swan	isolate: bCygOlo1, sex: male	8869	bCygOlo1.alt	GCA_009769485.1	GenBank		Scaffold	328714	814162536	2019-12-19		PRJNA561961	SAMN12621369
Pterocles gutturalis	yellow-throated sandgrouse	isolate: bPteGut1, sex: male	240206	bPteGut1.alt	GCA_009769505.1	GenBank		Contig	1147717	1037717354	2019-12-19		PRJNA561959	SAMN12623217
Pterocles gutturalis	yellow-throated sandgrouse	isolate: bPteGut1, sex: male	240206	bPteGut1.pri	GCA_009769525.1	GenBank		Chromosome	12131577	1127398289	2019-12-23		PRJNA561958	SAMN12623217
Thamnophis elegans	Western terrestrial garter snake	isolate: rThaEle1, sex: female	35005	rThaEle1.pri	GCA_009769535.1	GenBank		Chromosome	4620601	1672190305	2019-12-23		PRJNA561996	SAMN12629499
Bucorvus abyssinicus	Abyssinian ground-hornbill	isolate: bBucAby1, sex: female	153643	bBucAby1.alt	GCA_009769595.1	GenBank		Contig	954952	1024138499	2019-12-19		PRJNA561886	SAMN12614799
Bucorvus abyssinicus	Abyssinian ground-hornbill	isolate: bBucAby1, sex: female	153643	bBucAby1.pri	GCA_009769605.1	GenBank		Chromosome	12039478	1132597561	2019-12-23		PRJNA561887	SAMN12614799
Cygnus olor	mute swan	isolate: bCygOlo1, sex: male	8869	bCygOlo1.pri	GCA_009769625.1	GenBank		Chromosome	7743145	1134992545	2019-12-23		PRJNA561960	SAMN12621369
Thamnophis elegans	Western terrestrial garter snake	isolate: rThaEle1, sex: female	35005	rThaEle1.alt	GCA_009769695.1	GenBank		Scaffold	432811	1814330211	2019-12-19		PRJNA561997	SAMN12629499
Eremophila alpestris peregrina		isolate: EALPPER07, sex: male	2668079	CLO_EAlp_1.0	GCA_009792885.1	GenBank		Scaffold	193817	1041021471	2019-12-23		PRJNA575884	SAMN12913182
Tetrax tetrax		isolate: T08N04531, sex: male	172684	REN_Tetrax_1.0	GCA_009806455.1	GenBank		Scaffold	43434	1259185357	2019-12-27		PRJNA473697	SAMN11607794
Sialia sialis	eastern bluebird	sex: female, strain: Louisiana	172413	Ss_LA_1.0	GCA_009812075.1	GenBank		Scaffold	53982	958522825	2019-12-31		PRJNA557459	SAMN12412825
Cariama cristata	Red-legged seriema	isolate: bCarCri1, sex: female	54380	bCarCri1.alt	GCA_009819485.1	GenBank		Scaffold	1876668	930239327	2019-12-23		PRJNA561893	SAMN12614807
Catharus ustulatus	Swainson's thrush	isolate: bCatUst1, sex: female	91951	bCatUst1.alt.v2	GCA_009819505.2	GenBank		Scaffold	1498444	1128658440	2020-11-05		PRJNA561934	SAMN12618602
