transcript	gene	cds_length	mrna_length	is_longest	f0	f2	f3	f4
rna-XM_031569381.1	gene-madd	4986	46124	no	3212	901	49	824
rna-XM_031569371.1	gene-madd	5088	46124	no	3279	930	49	830
rna-XM_031569394.1	gene-madd	4803	46124	no	3097	855	47	804
rna-XM_031569393.1	gene-madd	4806	46124	no	3099	855	47	805
rna-XM_031569391.1	gene-madd	4815	46124	no	3104	858	47	806
rna-XM_031569385.1	gene-madd	4878	46124	no	3145	872	47	814
rna-XM_031569383.1	gene-madd	4935	46124	no	3180	894	47	814
rna-XM_031569388.1	gene-madd	4866	46124	no	3138	863	49	816
rna-XM_031569386.1	gene-madd	4875	46124	no	3143	866	49	817
rna-XM_031569379.1	gene-madd	4995	46124	no	3219	902	49	825
rna-XM_031569373.1	gene-madd	5058	46124	no	3261	919	49	829
rna-XM_031569375.1	gene-madd	5037	46124	no	3247	923	47	820
rna-XM_031569390.1	gene-madd	4833	46124	no	3117	877	47	792
rna-XM_031569374.1	gene-madd	5040	46124	no	3251	909	49	831
rna-XM_031569378.1	gene-madd	5013	46124	no	3232	916	49	816
rna-XM_031569370.1	gene-madd	5094	46124	no	3284	931	49	830
rna-XM_031569377.1	gene-madd	5025	46124	no	3240	914	49	822
rna-XM_031569376.1	gene-madd	5034	46124	no	3245	917	49	823
rna-XM_031569372.1	gene-madd	5088	46124	no	3281	928	49	830
rna-XM_031569368.1	gene-madd	5097	46124	yes	3286	931	49	831
rna-XM_031569398.1	gene-madd	4710	44976	no	3034	856	43	777
rna-XM_031569397.1	gene-madd	4767	44976	no	3071	864	45	787
rna-XM_031569396.1	gene-madd	4770	44976	no	3073	864	45	788
rna-XM_031569399.1	gene-madd	4599	44976	no	2965	821	43	770
rna-XM_012834711.2	gene-nr1h3	1335	15039	no	866	253	18	198
rna-XM_012834710.2	gene-nr1h3	1335	15039	yes	866	253	18	198
rna-XM_031569401.1	gene-nr1h3	1335	14742	no	866	253	18	198
rna-XM_031569402.1	gene-nr1h3	1335	14623	no	866	253	18	198
rna-XM_012834629.2	gene-atxn1l	2550	11779	yes	1640	416	13	481
rna-XM_031569408.1	gene-znf821	1452	10918	no	928	249	5	270
rna-XM_031569411.1	gene-znf821	1389	10351	no	889	235	5	260
rna-XM_031569407.1	gene-znf821	1461	6291	no	934	250	5	272
rna-XM_031569409.1	gene-znf821	1389	13216	no	889	235	5	260
rna-XM_031569406.1	gene-znf821	1476	10917	yes	944	254	5	273
rna-XM_031569410.1	gene-znf821	1389	10916	no	889	235	5	260
rna-XM_012834722.2	gene-copb1	2862	9437	yes	1838	508	67	449
rna-XM_012834737.2	gene-rras2	609	29008	yes	391	121	11	86
rna-XM_031569414.1	gene-tub	1269	52636	no	823	253	21	172
rna-XM_031569413.1	gene-tub	1563	52634	yes	1014	307	24	218
rna-XM_012834658.2	gene-tub	1494	25556	no	968	293	22	211
rna-XM_031568627.1	gene-LOC105906478	894	5210	yes	571	176	17	130
rna-XM_031569415.1	gene-lmo1	468	26041	yes	304	102	4	58
rna-XM_031569416.1	gene-stk33	1587	15713	yes	1012	295	21	259
rna-XM_031569417.1	gene-stk33	1491	14918	no	965	276	21	229
rna-XM_012834661.2	gene-LOC105906507	621	4302	yes	394	128	11	88
rna-XM_012834635.2	gene-trim66	3342	14383	yes	2151	628	20	543
rna-XM_012834718.2	gene-rpl27a	447	2456	yes	288	89	7	63
rna-XM_031569418.1	gene-dennd2b	3423	48726	yes	2160	671	35	557
rna-XM_012834716.2	gene-dennd2b	3423	42934	no	2160	671	35	557
rna-XM_031569420.1	gene-dennd2b	3423	37656	no	2160	671	35	557
rna-XM_031569419.1	gene-dennd2b	3423	37457	no	2160	671	35	557
rna-XM_012834705.2	gene-tmem9b	585	2816	yes	371	121	11	82
rna-XM_031569423.1	gene-scube2	2571	18739	no	1668	524	34	345
rna-XM_031569422.1	gene-scube2	3066	18739	no	1985	621	37	423
rna-XM_031569421.1	gene-scube2	3069	18739	yes	1987	621	37	424
rna-XM_012834703.2	gene-slc7a6os	978	3721	yes	624	192	9	153
rna-XM_012834701.2	gene-slc7a6	1500	10038	yes	969	214	53	264
rna-XM_012834702.2	gene-slc7a6	1500	9233	no	969	214	53	264
rna-XM_031569424.1	gene-slc7a6	1500	8941	no	969	214	53	264
rna-XM_031569425.1	gene-slc7a6	1500	8356	no	969	214	53	264
rna-XM_031569427.1	gene-LOC116220814	1641	7784	no	1033	299	19	290
rna-XM_031569426.1	gene-LOC116220814	1644	7783	yes	1035	300	19	290
rna-XM_031569428.1	gene-LOC116220814	1365	7546	no	860	248	17	240
rna-XM_031569429.1	gene-LOC105906482	1965	10801	yes	1271	362	37	295
rna-XM_012834653.2	gene-ccdc102a	1743	65434	yes	1097	357	7	282
rna-XM_012834637.2	gene-dok4	990	53286	yes	635	182	15	158
rna-XM_031569430.1	gene-dok4	990	53285	no	635	182	15	158
rna-XM_031569432.1	gene-dok4	990	52848	no	635	182	15	158
rna-XM_031569431.1	gene-dok4	990	45016	no	635	182	15	158
rna-XM_031569433.1	gene-LOC105906484	1845	21075	yes	1171	352	31	291
rna-XM_031569434.1	gene-LOC105906484	1497	19140	no	949	283	29	236
rna-XM_031568628.1	gene-prmt3	1239	39476	yes	804	230	23	182
rna-XM_012830658.2	gene-slc6a5	2364	14522	yes	1561	377	63	363
rna-XM_031569435.1	gene-nell1	2427	130495	yes	1575	484	40	328
rna-XM_031569438.1	gene-LOC105902975	6030	17102	yes	3888	1078	74	990
rna-XM_012830661.2	gene-LOC105902975	6030	17074	no	3888	1078	74	990
rna-XM_031569437.1	gene-LOC105902975	5934	16534	no	3824	1055	74	981
rna-XM_031569436.1	gene-LOC105902975	6030	16534	no	3888	1078	74	990
rna-XM_012830678.2	gene-lrp4	5754	88535	yes	3761	1021	106	866
rna-XM_031569439.1	gene-lrp4	5706	88534	no	3731	1015	105	855
rna-XM_012830679.2	gene-lrp4	5457	84753	no	3567	971	104	815
rna-XM_031569440.1	gene-mapk8ip1	2262	32475	yes	1457	424	21	360
rna-XM_012830662.2	gene-mapk8ip1	2235	24819	no	1447	418	21	349
rna-XM_012830687.2	gene-LOC105902997	1725	16987	yes	1105	349	17	254
rna-XM_031569441.1	gene-LOC116220816	1287	1955	yes	835	247	23	182
rna-XM_012830674.2	gene-slc35c1	1059	3500	no	700	162	24	173
rna-XM_012830673.2	gene-slc35c1	1098	3073	yes	723	174	25	176
rna-XM_012830677.2	gene-LOC105902990	1269	3423	yes	813	228	19	209
rna-XM_012830663.2	gene-LOC105902977	585	1344	yes	376	126	10	73
rna-XM_012830664.2	gene-LOC105902978	624	2311	yes	399	143	13	69
rna-XM_012830665.2	gene-LOC105902979	264	4512	yes	177	42	3	42
rna-XM_012830666.2	gene-LOC105902980	570	2598	yes	377	122	13	58
rna-XM_012830667.2	gene-LOC105902981	573	2460	yes	372	128	14	59
rna-XM_031569444.1	gene-LOC105902983	15522	31846	no	9855	3622	184	1861
rna-XM_031569443.1	gene-LOC105902983	15522	31846	yes	9855	3622	184	1861
rna-XM_031569447.1	gene-LOC105902983	14481	31846	no	9197	3378	180	1726
rna-XM_031569445.1	gene-LOC105902983	15489	31846	no	9831	3619	184	1855
rna-XM_031569446.1	gene-LOC105902983	15477	31846	no	9825	3614	183	1855
rna-XM_031569448.1	gene-LOC105902983	8463	31845	no	5365	1917	92	1089
rna-XM_031568598.1	gene-LOC105902989	1134	4171	yes	748	179	28	179
rna-NM_001309832.1	gene-LOC105902989	1134	4145	no	748	179	28	179
rna-XM_031569449.1	gene-LOC105902984	5484	111864	yes	3524	938	67	955
rna-XM_031569451.1	gene-LOC105902984	5424	111864	no	3487	926	65	946
rna-XM_031569450.1	gene-LOC105902984	5475	111864	no	3518	936	67	954
rna-XM_031569452.1	gene-LOC105902984	5415	111864	no	3481	924	65	945
rna-XM_031569453.1	gene-LOC105902984	5391	111864	no	3467	917	65	942
rna-XM_031569454.1	gene-LOC105902984	4638	73188	no	2985	753	55	845
rna-XM_012830688.2	gene-cttn	1629	15829	no	1078	295	10	246
rna-XM_031569459.1	gene-cttn	1521	15421	no	1009	272	10	230
rna-XM_031569458.1	gene-cttn	1551	15418	no	1027	287	10	227
rna-XM_031569457.1	gene-cttn	1629	15417	no	1079	295	10	245
rna-XM_031569456.1	gene-cttn	1632	15417	yes	1081	295	10	246
rna-XM_031569461.1	gene-cttn	1458	15416	no	965	278	10	205
rna-XM_031569463.1	gene-ppfia1	3855	46484	yes	2451	758	42	604
rna-XM_031569465.1	gene-ppfia1	3843	46483	no	2443	757	42	601
rna-XM_031569466.1	gene-ppfia1	3828	46483	no	2432	753	42	601
rna-XM_031569462.1	gene-ppfia1	3855	46483	no	2451	758	42	604
rna-XM_031569467.1	gene-ppfia1	3825	46481	no	2434	748	42	601
rna-XM_031569473.1	gene-ppfia1	3765	46481	no	2389	746	42	588
rna-XM_031569469.1	gene-ppfia1	3810	46481	no	2421	750	42	597
rna-XM_031569468.1	gene-ppfia1	3813	46480	no	2424	748	42	599
rna-XM_031569464.1	gene-ppfia1	3849	46480	no	2448	755	42	604
rna-XM_031569471.1	gene-ppfia1	3798	46479	no	2414	752	42	590
rna-XM_031569474.1	gene-ppfia1	3759	46478	no	2387	746	42	584
rna-XM_031569472.1	gene-ppfia1	3786	46478	no	2406	751	42	587
rna-XM_031569470.1	gene-ppfia1	3807	46476	no	2421	745	42	599
rna-XM_031569475.1	gene-ppfia1	3696	46475	no	2344	739	42	571
rna-XM_031569479.1	gene-ppfia1	3717	46473	no	2360	736	42	579
rna-XM_031569477.1	gene-ppfia1	3738	46471	no	2376	738	42	582
rna-XM_031569476.1	gene-ppfia1	3648	46468	no	2314	726	42	566
rna-XM_031569478.1	gene-ppfia1	3675	46468	no	2333	731	42	569
rna-XM_031568702.1	gene-LOC105902985	2343	8701	yes	1529	404	43	367
rna-XM_012830675.2	gene-LOC105902988	1077	3901	yes	699	209	22	147
rna-XM_031568629.1	gene-LOC116220686	741	2420	yes	477	130	11	123
rna-XM_031568704.1	gene-LOC105902991	936	2372	yes	605	176	20	135
rna-XM_031568705.1	gene-LOC105902991	936	2372	no	605	176	20	135
rna-XM_012830693.2	gene-arfgap2	1659	9962	yes	1089	293	23	254
rna-XM_012830695.2	gene-arfgap2	1656	9962	no	1087	293	23	253
rna-XM_012830696.2	gene-arfgap2	1614	9962	no	1059	284	23	248
rna-XM_012830697.2	gene-arfgap2	1611	9962	no	1057	284	23	247
rna-XM_012830681.2	gene-LOC105902995	1788	4848	yes	1168	317	20	283
rna-XM_031569484.1	gene-pex16	1023	4133	no	629	211	20	163
rna-XM_031569482.1	gene-pex16	1029	4133	no	633	212	20	164
rna-XM_031569483.1	gene-pex16	1026	4133	no	631	211	20	164
rna-XM_031569481.1	gene-pex16	1032	4133	yes	635	212	20	165
rna-XM_031569485.1	gene-LOC105903001	2253	47323	yes	1443	430	27	353
rna-XM_012830690.2	gene-LOC105903001	2253	32959	no	1443	430	27	353
rna-XM_031569486.1	gene-LOC105903001	2253	14659	no	1443	430	27	353
rna-XM_031568630.1	gene-LOC116220687	2250	5278	yes	1458	544	52	196
rna-XM_031568706.1	gene-LOC116220721	570	1409	yes	363	135	3	69
rna-XM_031569490.1	gene-LOC105888969	3111	17681	no	2041	550	51	469
rna-XM_031569487.1	gene-LOC105888969	3738	20477	yes	2449	641	62	586
rna-XM_031569489.1	gene-LOC105888969	3681	20477	no	2413	627	62	579
rna-XM_031569488.1	gene-LOC105888969	3735	20477	no	2447	640	62	586
rna-XM_031569496.1	gene-kifc3	2973	29378	no	1867	595	26	485
rna-XM_031569491.1	gene-kifc3	3312	25343	yes	2083	657	28	544
rna-XM_031569492.1	gene-kifc3	3279	25342	no	2065	643	28	543
rna-XM_031569494.1	gene-kifc3	3225	25341	no	2030	640	27	528
rna-XM_031569493.1	gene-kifc3	3276	25341	no	2057	654	28	537
rna-XM_031569497.1	gene-kifc3	2973	21995	no	1867	595	26	485
rna-XM_031569495.1	gene-kifc3	3114	20192	no	1956	625	27	506
rna-XM_031569498.1	gene-kifc3	2871	15402	no	1799	577	25	470
rna-XM_012814948.2	gene-LOC105889153	1266	11510	no	826	223	6	211
rna-XM_012814947.2	gene-LOC105889153	1275	11508	yes	832	225	6	212
rna-XM_012814877.2	gene-eif3m	1134	5155	yes	740	212	22	160
rna-XM_012814879.2	gene-prrg4	651	4219	yes	414	117	11	109
rna-XM_012814876.2	gene-qser1	5301	16717	yes	3427	949	53	872
rna-XM_012814729.2	gene-depdc7	1551	6750	yes	983	319	25	224
rna-XM_031569499.1	gene-cstf3	2151	14246	yes	1379	438	37	297
rna-XM_012814951.2	gene-rps13	456	2401	yes	282	89	8	77
rna-XM_031569500.1	gene-plekha7	3915	88601	yes	2521	666	37	691
rna-XM_031569501.1	gene-plekha7	3894	88601	no	2507	662	37	688
rna-XM_031569502.1	gene-plekha7	3855	88601	no	2480	659	35	681
rna-XM_031569503.1	gene-plekha7	3846	88600	no	2478	654	35	679
rna-XM_031569504.1	gene-plekha7	3774	88599	no	2428	655	37	654
rna-XM_031569507.1	gene-plekha7	3600	51741	no	2316	610	32	642
rna-XM_031569505.1	gene-plekha7	3600	51741	no	2316	610	32	642
rna-XM_031569509.1	gene-LOC105889135	2382	159528	no	1560	421	34	367
rna-XM_012814927.2	gene-LOC105889135	2355	157456	no	1540	417	34	364
rna-XM_012814928.2	gene-LOC105889135	2313	157456	no	1515	405	33	360
rna-XM_012814924.2	gene-LOC105889135	2382	157456	no	1560	421	34	367
rna-XM_012814925.2	gene-LOC105889135	2382	157033	no	1560	421	34	367
rna-XM_031569508.1	gene-LOC105889135	2397	108523	yes	1569	418	34	376
rna-XM_031569510.1	gene-LOC105889135	2148	107363	no	1399	383	27	339
rna-XM_031568631.1	gene-pde3b	1956	13311	yes	1257	351	23	325
rna-XM_031569511.1	gene-phlpp2	4317	45267	yes	2721	800	43	753
rna-XM_031569515.1	gene-LOC105888973	972	2773	no	610	223	14	125
rna-XM_031569514.1	gene-LOC105888973	972	2773	no	610	223	14	125
rna-XM_031569513.1	gene-LOC105888973	1089	1925	yes	684	248	17	140
rna-XM_012814899.2	gene-usp10	2646	27305	yes	1720	421	31	474
rna-XM_012814900.2	gene-usp10	2586	27305	no	1681	411	30	464
rna-XM_031569512.1	gene-crispld2	1551	17107	yes	1016	275	18	242
rna-XM_012814814.2	gene-LOC105889055	1434	11260	yes	915	253	17	249
rna-XM_031569518.1	gene-zfhx3	11691	339051	yes	7617	2114	91	1869
rna-XM_031569519.1	gene-zfhx3	11691	276272	no	7617	2114	91	1869
rna-XM_031569517.1	gene-zfhx3	11691	167318	no	7617	2114	91	1869
rna-XM_031569521.1	gene-zfhx3	11685	167318	no	7613	2113	91	1868
rna-XM_031569520.1	gene-zfhx3	11688	167318	no	7615	2114	91	1868
rna-XM_031569522.1	gene-pmfbp1	4983	141952	yes	3044	1182	19	738
rna-XM_031569523.1	gene-pmfbp1	4983	109843	no	3044	1182	19	738
rna-XM_031569524.1	gene-pmfbp1	4797	90457	no	2929	1137	15	716
rna-XM_012814882.2	gene-dhx38	3795	17529	yes	2456	731	58	550
rna-XM_012814883.2	gene-LOC105889116	492	4749	yes	332	86	10	64
rna-XM_012814726.2	gene-LOC105888967	1125	2857	yes	724	203	25	173
rna-XM_012814736.2	gene-LOC105888977	1668	39903	yes	1076	311	38	243
rna-XM_031568632.1	gene-LOC105888980	816	2386	yes	507	172	12	125
rna-XM_031568633.1	gene-LOC105888981	1896	12849	yes	1209	357	39	291
rna-XM_012814805.2	gene-LOC105889048	615	10873	yes	400	106	21	88
rna-XM_031569526.1	gene-fgf19	576	5129	no	365	129	11	71
rna-XM_031569527.1	gene-fgf19	429	5127	no	273	96	9	51
rna-XM_031569525.1	gene-fgf19	648	5097	yes	411	138	16	83
rna-XM_012814818.2	gene-fgf19	648	3851	no	411	138	16	83
rna-XM_012814792.2	gene-lto1	420	4940	yes	271	90	7	52
rna-XM_031569528.1	gene-lto1	381	4896	no	245	81	7	48
rna-XM_012814741.2	gene-fadd	582	2956	yes	373	132	10	67
rna-XM_031569532.1	gene-pacsin3	1299	45405	yes	853	273	12	161
rna-XM_031569533.1	gene-pacsin3	1299	41434	no	853	273	12	161
rna-XM_012814791.2	gene-pacsin3	1299	41434	no	853	273	12	161
rna-XM_012814949.2	gene-LOC105889154	1398	47526	yes	896	276	18	208
rna-XM_031569529.1	gene-LOC105889154	1395	47526	no	894	275	18	208
rna-XM_031569531.1	gene-LOC105889154	1239	33230	no	791	247	16	185
rna-XM_012814950.2	gene-LOC105889154	1374	47525	no	877	273	18	206
rna-XM_031569530.1	gene-LOC105889154	1371	47525	no	875	272	18	206
rna-XM_012814788.2	gene-rps17	405	3156	yes	261	73	11	60
rna-XM_031569535.1	gene-neo1	4347	81917	no	2839	678	72	758
rna-XM_031569537.1	gene-neo1	4314	81916	no	2820	678	72	744
rna-XM_031569536.1	gene-neo1	4323	81916	no	2824	673	71	755
rna-XM_031569540.1	gene-neo1	4221	81916	no	2761	657	68	735
rna-XM_031569534.1	gene-neo1	4380	81916	yes	2862	684	72	762
rna-XM_012814913.2	gene-neo1	4257	81915	no	2782	667	71	737
rna-XM_031569541.1	gene-neo1	4155	81915	no	2719	651	68	717
rna-XM_031569538.1	gene-neo1	4305	81180	no	2814	671	71	749
rna-XM_012814786.2	gene-LOC105889030	732	3452	yes	487	114	15	116
rna-XM_012814811.2	gene-scamp2	981	13828	yes	649	172	15	145
rna-XM_012814933.2	gene-gas8	1488	16402	yes	939	350	18	181
rna-XM_012814940.2	gene-LOC105889148	1563	14815	yes	1005	336	20	202
rna-XM_012814804.2	gene-acp2	1257	15350	yes	816	232	16	193
rna-XM_012814824.2	gene-LOC105889064	2487	13860	yes	1597	502	36	352
rna-XM_031569542.1	gene-LOC105889062	1542	15577	yes	1007	252	41	242
rna-XM_031569551.1	gene-LOC105889160	3360	123656	no	2159	640	50	511
rna-XM_031569553.1	gene-LOC105889160	3201	123654	no	2059	606	50	486
rna-XM_031569554.1	gene-LOC105889160	3132	99728	no	2016	591	48	477
rna-XM_031569552.1	gene-LOC105889160	3282	94160	no	2109	620	49	504
rna-XM_031569556.1	gene-LOC105889160	3123	94156	no	2009	586	49	479
rna-XM_031569545.1	gene-LOC105889160	3972	72513	no	2546	738	53	635
rna-XM_031569543.1	gene-LOC105889160	4029	72506	yes	2582	747	53	647
rna-XM_031569544.1	gene-LOC105889160	3984	72500	no	2554	737	52	641
rna-XM_031569547.1	gene-LOC105889160	3930	72498	no	2519	728	53	630
rna-XM_031569546.1	gene-LOC105889160	3969	72493	no	2545	732	53	639
rna-XM_031569548.1	gene-LOC105889160	3870	72480	no	2482	713	53	622
rna-XM_031569550.1	gene-LOC105889160	3621	61501	no	2322	664	47	588
rna-XM_012814742.2	gene-creb3l1	1512	25926	yes	975	275	9	253
rna-XM_031569557.1	gene-creb3l1	1164	22610	no	751	208	9	196
rna-XM_031569562.1	gene-LOC105888986	2031	49003	no	1314	335	28	354
rna-XM_031569558.1	gene-LOC105888986	2331	49002	yes	1508	385	31	407
rna-XM_031569560.1	gene-LOC105888986	2247	49000	no	1456	372	30	389
rna-XM_031569561.1	gene-LOC105888986	2187	48999	no	1416	367	31	373
rna-XM_031569559.1	gene-LOC105888986	2322	48997	no	1502	383	31	406
rna-XM_031569563.1	gene-LOC105888986	1986	18137	no	1286	311	28	361
rna-XM_031569567.1	gene-LOC105888987	609	8146	no	395	112	11	91
rna-XM_012814744.2	gene-LOC105888987	666	8138	no	427	126	12	101
rna-XM_031569564.1	gene-LOC105888987	690	8138	yes	443	132	12	103
rna-XM_031569566.1	gene-LOC105888987	663	8136	no	428	123	11	101
rna-XM_031569565.1	gene-LOC105888987	669	8128	no	429	127	12	101
rna-XM_012814799.2	gene-harbi1	1050	3123	yes	672	210	24	144
rna-XM_031569571.1	gene-harbi1	1050	3113	no	672	210	24	144
rna-XM_012814863.2	gene-atg13	1650	9292	yes	1072	286	22	270
rna-XM_031569568.1	gene-atg13	1638	9292	no	1065	282	22	269
rna-XM_031569570.1	gene-atg13	1539	9292	no	1003	264	22	250
rna-XM_031569569.1	gene-atg13	1551	9291	no	1010	268	22	251
rna-XM_012814868.2	gene-LOC105889102	492	5652	no	327	82	5	78
rna-XM_031569572.1	gene-LOC105889102	723	5652	yes	471	123	7	122
rna-XM_031569575.1	gene-arhgap1	1434	10840	yes	919	290	24	201
rna-XM_012814866.2	gene-arhgap1	1431	10838	no	917	290	24	200
rna-XM_031569576.1	gene-arhgap1	1317	10214	no	842	265	23	187
rna-XM_012814952.2	gene-f2	1872	4953	yes	1223	353	30	266
rna-XM_031569573.1	gene-znf408	2457	4812	yes	1580	496	34	347
rna-XM_031569574.1	gene-znf408	2457	4812	no	1580	496	34	347
rna-XM_031569578.1	gene-syt13	1098	23992	no	715	188	12	183
rna-XM_012814815.2	gene-syt13	1266	19121	yes	823	212	14	217
rna-XM_012814964.2	gene-fbxo3	1461	15160	yes	950	272	21	218
rna-XM_031569577.1	gene-fbxo3	1458	15160	no	948	271	21	218
rna-XM_031569579.1	gene-cd59	357	3741	yes	234	63	6	54
rna-XM_012814833.2	gene-cd59	357	3737	no	234	63	6	54
rna-XM_031568708.1	gene-LOC105888988	1401	2716	yes	880	231	12	278
rna-XM_031569583.1	gene-scg3	1338	11048	no	856	287	25	170
rna-XM_031569581.1	gene-scg3	1449	11044	yes	930	311	25	183
rna-XM_031569582.1	gene-scg3	1428	11043	no	917	304	25	182
rna-XM_012814967.2	gene-lysmd2	630	5030	yes	398	120	9	103
rna-XM_012814936.2	gene-LOC105889143	1038	20950	yes	661	215	17	145
rna-XM_012814941.2	gene-leo1	2145	7128	yes	1389	434	14	308
rna-XM_012814943.2	gene-leo1	2142	7128	no	1387	434	14	307
rna-XM_031569585.1	gene-mapk6	2184	14768	yes	1417	431	33	303
rna-XM_031569587.1	gene-mapk6	2184	14081	no	1417	431	33	303
rna-XM_031569586.1	gene-mapk6	2184	12903	no	1417	431	33	303
rna-XM_012814871.2	gene-mapk6	2184	11657	no	1417	431	33	303
rna-XM_031569588.1	gene-mapk6	2184	10077	no	1417	431	33	303
rna-XM_012814953.2	gene-bcl2l10	594	4192	yes	377	118	5	94
rna-XM_012814747.2	gene-LOC105888989	1188	9070	yes	773	223	8	184
rna-XM_031569590.1	gene-myo5a	5541	46174	no	3557	1096	105	783
rna-XM_031569591.1	gene-myo5a	5481	46174	no	3519	1085	102	775
rna-XM_031569589.1	gene-myo5a	5550	46174	yes	3563	1099	105	783
rna-XM_031569592.1	gene-arpp19	351	3566	yes	227	70	6	48
rna-XM_012814944.2	gene-fam214a	3198	30762	yes	2030	577	30	561
rna-XM_012814834.2	gene-onecut1	1377	8254	no	899	247	13	218
rna-XM_031569593.1	gene-onecut1	1392	8249	yes	909	248	14	221
rna-XM_031568635.1	gene-LOC116220689	306	7040	yes	196	67	0	43
rna-XM_031569595.1	gene-unc13c	7416	100955	yes	4832	1445	116	1023
rna-XM_031569594.1	gene-unc13c	7416	100510	no	4832	1445	116	1023
rna-XM_031569597.1	gene-unc13c	7389	100510	no	4814	1440	116	1019
rna-XM_031569598.1	gene-unc13c	7386	100510	no	4813	1437	115	1021
rna-XM_031569599.1	gene-unc13c	7359	100510	no	4795	1432	115	1017
rna-XM_031569596.1	gene-unc13c	7392	100510	no	4819	1439	116	1018
rna-XM_031569601.1	gene-prtg	3222	22033	yes	2091	507	57	567
rna-XM_031569600.1	gene-pygo1	1344	6365	no	882	247	8	207
rna-XM_012814932.2	gene-pygo1	1368	6365	yes	895	254	8	211
rna-XM_031569609.1	gene-dnaaf4	1308	5636	yes	840	281	19	168
rna-XM_012814749.2	gene-dnaaf4	1221	5636	no	780	270	17	154
rna-XM_031569603.1	gene-ccpg1	2646	8902	yes	1694	558	23	371
rna-XM_031569604.1	gene-ccpg1	2646	8893	no	1694	558	23	371
rna-XM_031569602.1	gene-ccpg1	2646	8877	no	1694	558	23	371
rna-XM_031569606.1	gene-ccpg1	2514	8877	no	1611	524	21	358
rna-XM_031569607.1	gene-ccpg1	2502	8877	no	1603	521	21	357
rna-XM_012814895.2	gene-ccpg1	2643	8877	no	1692	558	23	370
rna-XM_031569608.1	gene-ccpg1	2475	7854	no	1584	523	22	346
rna-XM_031569605.1	gene-ccpg1	2634	8876	no	1686	555	23	370
rna-XM_012814896.2	gene-ccpg1	2550	8876	no	1631	542	22	355
rna-XM_012814897.2	gene-ccpg1	2538	8875	no	1623	539	22	354
rna-XM_031569611.1	gene-pigb	1044	2909	yes	671	184	28	161
rna-XM_031568636.1	gene-LOC105889104	2343	14711	yes	1497	424	22	400
rna-XM_031568637.1	gene-gpi	1485	7849	yes	982	239	26	238
rna-XM_031568638.1	gene-LOC105888992	633	6633	yes	407	129	8	89
rna-XM_031568639.1	gene-shcbp1	1485	11199	yes	955	273	29	228
rna-XM_012814934.2	gene-LOC105889141	822	2068	yes	539	118	15	150
rna-XM_012814835.2	gene-vstm2b	783	13758	yes	503	126	12	142
rna-XM_012814806.2	gene-pop4	660	3956	yes	412	151	10	87
rna-XM_012814754.2	gene-plekhf1	876	1428	yes	573	165	12	126
rna-XM_031568709.1	gene-LOC105889065	426	2195	yes	275	63	6	82
rna-XM_031569615.1	gene-LOC105889068	426	1104	yes	276	62	6	82
rna-XM_031569616.1	gene-LOC116220822	414	1764	yes	270	59	5	80
rna-XM_031569614.1	gene-LOC105889039	426	3171	yes	276	60	6	84
rna-XM_031569613.1	gene-LOC105889039	426	3129	no	276	60	6	84
rna-XM_012814961.2	gene-LOC105889163	513	3570	yes	338	96	12	67
rna-XM_031569612.1	gene-LOC105889162	876	3910	yes	568	134	27	147
rna-XM_012814960.2	gene-LOC105889162	858	3908	no	557	132	26	143
rna-XM_012814937.2	gene-ccne1	1218	4711	yes	797	224	19	178
rna-XM_012814938.2	gene-znf536	4356	164840	no	2831	778	25	722
rna-XM_031569617.1	gene-znf536	4377	128812	yes	2847	772	27	731
rna-XM_031569619.1	gene-znf536	4377	128812	no	2847	772	27	731
rna-XM_031569618.1	gene-znf536	4377	128812	no	2847	772	27	731
rna-XM_031569620.1	gene-znf536	4377	128812	no	2847	772	27	731
rna-XM_031569621.1	gene-tshz3	3450	40713	yes	2273	585	36	556
rna-XM_012814758.2	gene-znf507	3327	10691	yes	2129	613	29	556
rna-XM_031569624.1	gene-dpy19l3	2199	30885	no	1401	403	34	361
rna-XM_031569627.1	gene-dpy19l3	2199	30403	no	1401	403	34	361
rna-XM_031569626.1	gene-dpy19l3	2199	30126	no	1401	403	34	361
rna-XM_012814759.2	gene-dpy19l3	2199	30126	no	1401	403	34	361
rna-XM_031569625.1	gene-dpy19l3	2199	30126	no	1401	403	34	361
rna-XM_031569623.1	gene-dpy19l3	2244	26671	yes	1428	418	34	364
rna-XM_031569628.1	gene-LOC105889002	8850	168215	yes	5701	1530	113	1506
rna-XM_031569632.1	gene-mtss2	2124	60323	no	1380	339	28	377
rna-XM_012814945.2	gene-mtss2	2211	60323	no	1438	351	28	394
rna-XM_031569631.1	gene-mtss2	2133	60323	no	1385	342	28	378
rna-XM_031569630.1	gene-mtss2	2220	60323	yes	1443	354	28	395
rna-XM_012814873.2	gene-cpeb1	1698	10306	yes	1104	314	14	266
rna-XM_031569633.1	gene-LOC105889109	627	9064	yes	407	97	7	116
rna-XM_012814875.2	gene-LOC105889109	597	9062	no	387	93	6	111
rna-XM_031568640.1	gene-LOC105889003	618	3660	yes	401	116	4	97
rna-XM_012814912.2	gene-dnaja2	1239	10573	yes	802	241	17	179
rna-XM_031569635.1	gene-bnc1	2988	29395	yes	1944	562	35	447
rna-XM_012814836.2	gene-bnc1	2970	13877	no	1931	560	34	445
