transcript	gene	cds_length	mrna_length	is_longest	f0	f2	f3	f4
rna-XM_023956765.1	gene-LOC101163951	1218	4079	no	780	240	16	182
rna-XM_023956763.1	gene-LOC101164207	3531	15798	no	2291	614	76	550
rna-XM_023956760.1	gene-LOC101164207	3543	15721	yes	2298	617	76	552
rna-XM_023956761.1	gene-LOC101164207	3543	15721	no	2298	617	76	552
rna-XM_023956762.1	gene-LOC101164207	3543	13958	no	2298	617	76	552
rna-XM_011477445.3	gene-LOC101163739	1422	11510	yes	917	271	19	215
rna-XM_011477446.3	gene-LOC101163739	1395	4029	no	900	273	20	202
rna-XM_020704812.2	gene-LOC101163739	1395	4003	no	900	273	20	202
rna-XM_004070836.4	gene-pm20d1	1665	6379	yes	1069	297	36	263
rna-XM_011477450.3	gene-LOC101167455	1212	13008	no	769	256	13	174
rna-XM_011477452.3	gene-LOC101167455	1128	13006	no	716	239	13	160
rna-XM_011477451.3	gene-LOC101167455	1137	13006	no	722	240	13	162
rna-XM_023956766.1	gene-LOC101167455	1104	7031	no	704	235	14	151
rna-XM_023956767.1	gene-LOC101167455	1095	7030	no	698	234	14	149
rna-XM_011477449.3	gene-LOC101167455	1293	7026	no	821	269	15	188
rna-XM_011477448.3	gene-LOC101167455	1374	7024	no	874	288	15	197
rna-XM_011477447.3	gene-LOC101167455	1383	7024	yes	880	289	15	199
rna-XM_004070933.3	gene-LOC101167709	1560	3038	yes	1019	255	45	241
rna-XM_011477454.3	gene-LOC105354429	585	1390	yes	376	119	9	81
rna-XM_020704813.2	gene-LOC101164400	576	20586	yes	367	110	7	92
rna-XM_004070837.4	gene-LOC101164400	576	10931	no	367	110	7	92
rna-XM_011477455.3	gene-LOC101164400	576	10931	no	369	105	7	95
rna-XM_023956768.1	gene-LOC101167959	1356	10033	yes	896	276	22	162
rna-XM_023956769.1	gene-LOC101167959	1356	9737	no	896	276	22	162
rna-XM_023956770.1	gene-LOC101167959	798	2786	no	527	163	12	96
rna-XM_023956771.1	gene-LOC111947667	606	1368	yes	405	121	10	70
rna-XM_004070839.4	gene-dnajc11	1680	10691	yes	1077	323	28	252
rna-XM_023956778.1	gene-LOC101168211	5112	325672	no	3316	896	53	847
rna-XM_023956774.1	gene-LOC101168211	5490	325670	no	3551	986	58	895
rna-XM_023956775.1	gene-LOC101168211	5490	325670	no	3552	986	57	895
rna-XM_023956772.1	gene-LOC101168211	5511	325668	yes	3564	990	59	898
rna-XM_023956773.1	gene-LOC101168211	5511	325668	no	3565	990	58	898
rna-XM_023956777.1	gene-LOC101168211	5370	325668	no	3473	964	57	876
rna-XM_023956776.1	gene-LOC101168211	5409	325667	no	3498	971	58	882
rna-XM_004070840.4	gene-LOC101165144	465	2012	yes	302	86	7	70
rna-XM_011477460.3	gene-LOC101168461	2373	15923	no	1481	566	21	305
rna-XM_011477459.3	gene-LOC101168461	2400	15947	yes	1499	569	22	310
rna-XM_011477461.3	gene-LOC101168461	1080	15882	no	682	242	13	143
rna-XM_004070936.4	gene-LOC101168710	690	2914	yes	444	137	17	92
rna-XM_004070841.4	gene-dvl1	2187	22046	yes	1405	411	27	344
rna-XM_020704815.2	gene-LOC101165637	1314	9238	no	842	264	22	186
rna-XM_011477462.3	gene-LOC101165637	1332	9236	yes	853	265	23	191
rna-XM_020704816.2	gene-LOC101165637	1143	8046	no	726	238	19	160
rna-XM_004070843.3	gene-aurkaip1	633	2443	yes	399	129	8	97
rna-XM_023956781.1	gene-rap1gap	2301	45050	no	1494	435	33	339
rna-XM_023956782.1	gene-rap1gap	2283	45049	no	1481	431	32	339
rna-XM_023956790.1	gene-rap1gap	2223	45049	no	1444	424	31	324
rna-XM_023956779.1	gene-rap1gap	2319	45049	yes	1506	439	33	341
rna-XM_023956785.1	gene-rap1gap	2235	45048	no	1449	424	32	330
rna-XM_023956787.1	gene-rap1gap	2109	45048	no	1368	407	29	305
rna-XM_023956786.1	gene-rap1gap	2187	45048	no	1418	418	31	320
rna-XM_023956783.1	gene-rap1gap	2241	45048	no	1456	428	31	326
rna-XM_023956784.1	gene-rap1gap	2238	45047	no	1454	427	31	326
rna-XM_023956780.1	gene-rap1gap	2316	45047	no	1504	438	33	341
rna-XM_023956788.1	gene-rap1gap	2079	22597	no	1351	393	32	303
rna-XM_023956789.1	gene-rap1gap	2052	22596	no	1332	387	31	302
rna-XM_004070844.4	gene-nt5dc2	1818	10094	yes	1178	352	26	262
rna-XM_023956791.1	gene-LOC101169205	2676	14459	yes	1679	580	15	402
rna-XM_023956792.1	gene-LOC101169205	2676	14236	no	1679	580	15	402
rna-XM_023956793.1	gene-LOC101166627	1428	12383	yes	926	220	51	231
rna-XM_004070939.4	gene-was	1593	6437	yes	1044	232	19	298
rna-XM_011477467.2	gene-was	1590	6437	no	1042	232	19	297
rna-XM_011477468.3	gene-LOC101166872	2229	13049	yes	1427	411	26	365
rna-XM_011477469.3	gene-LOC101169699	1719	6374	no	1121	347	18	233
rna-XM_004070940.4	gene-LOC101169699	1722	6370	yes	1123	348	18	233
rna-XM_011477470.3	gene-LOC105354431	1023	5764	no	663	186	17	157
rna-XM_020704824.2	gene-LOC105354431	1884	9570	yes	1220	325	27	312
rna-XM_011477472.3	gene-LOC101169943	1197	5630	yes	766	219	22	190
rna-XM_023956795.1	gene-wdr13	1449	5486	yes	921	267	19	242
rna-XM_023956796.1	gene-wdr13	1449	5257	no	921	267	19	242
rna-XM_004070943.4	gene-porcn	1374	10561	no	898	246	22	208
rna-XM_011477474.3	gene-porcn	1389	10561	yes	908	248	22	211
rna-XM_011477475.3	gene-LOC101170678	1629	4918	yes	1049	297	30	253
rna-XM_011477476.3	gene-pdzd4	2835	17678	yes	1801	544	27	463
rna-XM_011477477.3	gene-pdzd4	2763	17676	no	1756	529	25	453
rna-XM_011477481.2	gene-kdm5c	4710	22253	no	3008	940	59	703
rna-XM_011477479.2	gene-kdm5c	4767	22253	yes	3045	945	60	717
rna-XM_023956799.1	gene-iqsec2	4518	33239	no	2890	794	46	788
rna-XM_023956798.1	gene-iqsec2	4533	33239	yes	2900	796	46	791
rna-XM_023956800.1	gene-iqsec2	4113	8634	no	2640	716	42	715
rna-XM_023956801.1	gene-iqsec2	3312	30121	no	2105	644	36	527
rna-XM_020704828.2	gene-LOC101171412	4266	44834	no	2683	810	53	720
rna-XM_011477483.3	gene-LOC101171412	4359	44307	yes	2741	834	55	729
rna-XM_020704829.2	gene-LOC101171412	3468	41162	no	2201	602	49	616
rna-XM_020704830.2	gene-LOC101171412	3390	41109	no	2153	587	48	602
rna-XM_004070849.4	gene-gpkow	1539	7755	yes	991	321	17	210
rna-XM_004070850.3	gene-pqbp1	684	5292	yes	431	149	7	97
rna-XM_004070948.4	gene-timm17b	480	5147	yes	313	70	9	88
rna-XM_020704832.2	gene-LOC101171913	6216	22657	yes	4053	1077	149	937
rna-XM_004070851.4	gene-LOC101168118	882	13070	yes	580	153	13	136
rna-XM_023956802.1	gene-plp2	465	9176	yes	305	71	19	70
rna-XM_020704834.2	gene-prickle3	2433	18882	no	1536	502	26	369
rna-XM_020704833.2	gene-prickle3	2436	18881	yes	1538	503	26	369
rna-XM_004070951.4	gene-prickle3	2388	18880	no	1507	496	25	360
rna-XM_020704836.2	gene-prickle3	2382	10306	no	1504	489	28	361
rna-XM_004070852.4	gene-LOC101168368	1179	3091	yes	745	188	9	237
rna-XM_004070952.4	gene-LOC101172657	1872	6958	yes	1216	301	28	327
rna-XM_004070853.4	gene-LOC101168621	330	4798	yes	215	51	5	59
rna-XM_004070953.4	gene-LOC101172902	1527	6014	yes	972	269	10	276
rna-XM_020704837.2	gene-LOC101173147	1506	5381	no	966	295	19	226
rna-XM_004070954.4	gene-LOC101173147	1617	5380	no	1036	319	20	242
rna-XM_011477488.3	gene-LOC101173147	1620	5375	yes	1038	320	20	242
rna-XM_011477489.3	gene-LOC101173391	1194	17363	yes	770	197	20	207
rna-XM_004070956.3	gene-LOC101173631	2691	3993	yes	1724	519	26	422
rna-XM_004070854.4	gene-LOC101168867	528	14298	yes	332	108	4	84
rna-XM_023956804.1	gene-LOC101173865	1608	13272	no	1029	292	37	250
rna-XM_020704843.1	gene-LOC101173865	1587	13272	no	1016	288	35	248
rna-XM_020704841.2	gene-LOC101173865	1620	13255	yes	1032	296	37	255
rna-XM_011477494.3	gene-LOC101173865	1599	13254	no	1019	292	35	253
rna-XM_023956807.1	gene-LOC101174103	1413	23406	no	917	227	12	257
rna-XM_023956805.1	gene-LOC101174103	1416	23405	yes	919	228	12	257
rna-XM_023956806.1	gene-LOC101174103	1416	23405	no	919	228	12	257
rna-XM_023956809.1	gene-LOC101174103	1296	23403	no	840	212	11	233
rna-XM_023956808.1	gene-LOC101174103	1299	23401	no	842	213	11	233
rna-XM_004070855.4	gene-LOC101169111	543	6506	yes	355	97	14	77
rna-XM_004070856.3	gene-LOC101169361	1833	10425	yes	1208	311	27	287
rna-XM_023956811.1	gene-LOC101174349	1377	10407	yes	897	221	22	237
rna-XM_004070857.4	gene-LOC101169608	690	4011	yes	439	156	13	82
rna-XM_011477501.3	gene-LOC101169856	603	3545	yes	383	127	6	87
rna-XM_004070858.4	gene-LOC101169856	600	3540	no	381	127	6	86
rna-XM_004070960.4	gene-LOC101174594	615	5069	yes	388	116	5	106
rna-XM_004070860.4	gene-LOC101170094	351	2031	yes	230	61	4	56
rna-XM_004070859.4	gene-LOC101170094	351	2025	no	230	61	4	56
rna-XM_004070961.4	gene-LOC101174833	2058	24986	yes	1337	370	24	327
rna-XM_011477503.3	gene-LOC101175080	4332	23408	yes	2775	863	62	632
rna-XM_011477502.3	gene-LOC101175080	4332	23393	no	2775	863	62	632
rna-XM_004070861.4	gene-c7h6orf226	444	3674	yes	286	96	2	60
rna-XM_011477508.2	gene-LOC101175320	2907	13781	no	1845	581	19	462
rna-XM_011477507.3	gene-LOC101175320	3534	11070	yes	2252	694	24	564
rna-XM_020704847.2	gene-LOC101175320	3441	10653	no	2188	683	23	547
rna-XM_023956813.1	gene-LOC101170760	1386	20904	yes	897	295	23	171
rna-XM_023956814.1	gene-LOC101170760	1386	20841	no	897	295	23	171
rna-XM_023956815.1	gene-LOC101170760	1224	20314	no	793	255	23	153
rna-XM_011477509.2	gene-LOC101171004	1236	6464	yes	807	187	12	230
rna-XM_020704851.2	gene-LOC101171004	1236	6382	no	807	187	12	230
rna-XM_004070964.4	gene-LOC101175566	1542	8241	yes	970	289	19	264
rna-XM_020704850.2	gene-LOC101175566	1464	8237	no	920	277	17	250
rna-XM_023956817.1	gene-LOC101154866	1689	5356	yes	1096	280	27	286
rna-XM_004070864.2	gene-LOC101171247	555	22120	yes	355	109	10	81
rna-XM_020704854.2	gene-LOC101155110	4584	19065	no	2945	920	42	677
rna-XM_011477513.3	gene-LOC101155110	4641	19065	yes	2981	931	42	687
rna-XM_011477514.2	gene-LOC101155351	1353	5729	yes	880	233	25	215
rna-XM_011477516.2	gene-klhl12	1695	11793	no	1095	299	26	275
rna-XM_004070865.3	gene-klhl12	1797	11793	yes	1159	327	26	285
rna-XM_004070866.4	gene-ptpn1	1299	12366	yes	838	243	22	196
rna-XM_011477517.3	gene-LOC101155601	861	1528	yes	537	182	8	134
rna-XM_004070867.4	gene-LOC101171992	1128	20047	yes	741	186	21	180
rna-XM_004070868.4	gene-slc52a3	1335	5412	yes	869	196	25	245
rna-XM_004070869.3	gene-LOC101172495	960	7973	yes	630	178	7	145
rna-XM_004070870.4	gene-tcf15	537	1621	yes	338	103	7	89
rna-XM_004070871.4	gene-LOC101172979	579	7342	yes	368	106	10	95
rna-XM_004070872.4	gene-slc13a3	1818	9395	yes	1193	271	40	314
rna-XM_011477519.3	gene-ocstamp	1401	6590	no	887	268	28	218
rna-XM_020704856.2	gene-ocstamp	1413	2995	yes	894	275	29	215
rna-XM_011477377.2	gene-trhr3	1161	6120	yes	758	184	35	184
rna-NM_001204793.1	gene-trhr3	1161	3137	no	758	184	35	184
rna-XM_011477524.3	gene-LOC101156325	1023	6986	no	670	151	17	185
rna-XM_011477522.3	gene-LOC101156325	1026	6985	no	671	151	17	187
rna-XM_011477520.3	gene-LOC101156325	1026	6985	yes	671	151	17	187
rna-XM_011477523.3	gene-LOC101156325	1026	6985	no	671	151	17	187
rna-XM_011477525.3	gene-LOC101156325	1005	6982	no	658	147	16	184
rna-XM_011477527.3	gene-LOC101156575	1407	3847	yes	909	267	22	209
rna-XM_004070873.4	gene-pym1	624	3914	yes	400	125	4	95
rna-XM_011477528.2	gene-LOC101156818	1473	17259	no	952	270	13	238
rna-XM_020704858.2	gene-LOC101156818	1413	17259	no	911	259	13	230
rna-XM_004070973.4	gene-LOC101156818	1473	17259	yes	952	270	13	238
rna-XM_020704857.2	gene-LOC101156818	1473	17259	no	952	270	13	238
rna-XM_004070974.4	gene-pan2	3621	13304	yes	2344	667	53	557
rna-XM_004070874.3	gene-LOC101173704	462	11240	yes	303	72	9	78
rna-XM_023956820.1	gene-LOC101173704	462	11050	no	303	72	9	78
rna-XM_011477530.3	gene-LOC101173940	1287	5770	yes	826	256	25	180
rna-XM_023956819.1	gene-LOC101173940	1200	5145	no	767	237	25	171
rna-XM_004070876.3	gene-cd63	723	8552	yes	479	119	27	98
rna-XM_004070975.4	gene-letmd1	1098	11133	yes	684	237	14	163
rna-XM_020704860.2	gene-LOC101174426	528	5467	yes	344	104	6	74
rna-XM_004070879.3	gene-LOC101174426	492	5466	no	320	93	6	73
rna-XM_004070877.4	gene-LOC101174426	528	5465	no	344	104	6	74
rna-XM_020704859.1	gene-LOC101174426	528	5347	no	344	104	6	74
rna-XM_004070881.4	gene-LOC101175159	522	3044	yes	341	110	7	64
rna-XM_020704861.2	gene-LOC101175159	522	3031	no	341	110	7	64
rna-XM_020704862.1	gene-nr4a1	1716	3736	yes	1107	312	17	280
rna-XM_004070882.4	gene-nr4a1	1716	3478	no	1107	312	17	280
rna-XM_004070883.4	gene-LOC101175652	1098	10299	yes	704	212	11	171
rna-XM_004070884.4	gene-LOC101154951	2190	21571	yes	1414	428	34	314
rna-XM_023956822.1	gene-rnf41	957	7050	yes	622	188	20	127
rna-XM_004070886.4	gene-LOC101155432	3234	25140	yes	2053	601	35	545
rna-XM_004070887.4	gene-LOC101155688	750	3645	yes	486	134	12	118
rna-XM_004070888.4	gene-cs	1410	9372	yes	911	254	15	230
rna-XM_023956823.1	gene-LOC101157536	2580	29504	yes	1647	466	36	431
rna-XM_011477537.3	gene-racgap1	1896	7178	yes	1199	357	30	310
rna-XM_023956824.1	gene-racgap1	1896	7178	no	1199	357	30	310
rna-XM_004070890.3	gene-LOC101156655	822	2613	yes	540	134	10	138
rna-XM_020704867.1	gene-bin2	1383	6226	yes	874	312	9	188
rna-XM_004070891.4	gene-LOC101156894	339	4667	yes	223	43	4	69
rna-XM_004070892.3	gene-dazap2	510	7011	yes	353	58	3	96
rna-XM_011477539.3	gene-pou6f1	1887	13562	yes	1224	262	33	368
rna-XM_011477540.3	gene-pou6f1	1854	13562	no	1203	253	31	367
rna-XM_004070893.4	gene-tfcp2	1488	12349	yes	970	266	31	221
rna-XM_023956825.1	gene-csrnp2	1776	9099	yes	1118	358	15	285
rna-XM_023956826.1	gene-csrnp2	1737	9099	no	1095	347	15	280
rna-XM_023956827.1	gene-csrnp2	1608	9097	no	1011	323	14	260
rna-XM_023956828.1	gene-csrnp2	1608	9097	no	1011	323	14	260
rna-XM_023956830.1	gene-LOC101158275	3213	39646	yes	2069	594	47	503
rna-XM_023956833.1	gene-LOC101158525	2586	26986	no	1645	519	41	381
rna-XM_023956834.1	gene-LOC101158525	2586	26986	no	1645	519	41	381
rna-XM_023956831.1	gene-LOC101158525	2634	25128	yes	1675	529	41	389
rna-XM_023956835.1	gene-LOC101158525	2586	24560	no	1645	519	41	381
rna-XM_023956832.1	gene-LOC101158525	2607	23610	no	1658	525	43	381
rna-XM_023956836.1	gene-slc48a1	435	5084	yes	284	70	8	73
rna-XM_023956246.1	gene-LOC111947619	1302	1529	yes	837	275	25	165
rna-XM_023956838.1	gene-LOC110015376	579	9465	no	366	120	7	86
rna-XM_020704869.2	gene-LOC110015376	726	5784	yes	457	143	12	114
rna-XM_020704870.2	gene-LOC101158766	5889	248634	yes	3798	1022	100	969
rna-XM_004070981.4	gene-LOC101158766	5889	248179	no	3796	1027	99	967
rna-XM_004070894.3	gene-LOC101157618	897	25796	yes	580	143	14	160
rna-XM_023956839.1	gene-LOC101157860	1062	34422	yes	693	163	15	191
rna-XM_023956842.1	gene-LOC101157860	963	34422	no	628	156	14	165
rna-XM_023956840.1	gene-LOC101157860	1062	34422	no	692	164	15	191
rna-XM_011477551.3	gene-LOC101157860	867	20800	no	564	140	11	152
rna-XM_020704876.2	gene-LOC101157860	963	20800	no	629	151	13	170
rna-XM_011477550.3	gene-LOC101157860	894	20800	no	581	143	12	158
rna-XM_020704874.2	gene-LOC101157860	990	20800	no	646	154	14	176
rna-XM_011477549.3	gene-LOC101157860	939	20800	no	611	144	12	172
rna-XM_020704872.2	gene-LOC101157860	1035	20800	no	676	155	14	190
rna-XM_011477548.3	gene-LOC101157860	966	20800	no	628	148	12	178
rna-XM_004070895.4	gene-LOC101157860	1062	20800	no	693	159	14	196
rna-XM_011477546.3	gene-LOC101157860	1038	20800	no	674	163	14	187
rna-XM_020704880.2	gene-LOC101157860	876	19964	no	571	146	11	148
rna-XM_020704878.2	gene-LOC101157860	939	19964	no	610	155	13	161
rna-XM_020704879.2	gene-LOC101157860	903	19964	no	588	149	12	154
rna-XM_020704877.2	gene-LOC101157860	948	19964	no	618	150	12	168
rna-XM_020704873.2	gene-LOC101157860	1011	19964	no	657	159	14	181
rna-XM_020704875.2	gene-LOC101157860	975	19964	no	635	154	12	174
rna-XM_011493962.3	gene-LOC101157860	891	4378	no	581	155	14	141
rna-XM_023956845.1	gene-LOC101159014	2352	27855	no	1518	415	36	383
rna-XM_023956844.1	gene-LOC101159014	2361	17543	yes	1524	426	38	373
rna-XM_020704882.2	gene-LOC105354442	975	6844	yes	632	186	15	142
rna-XM_011477553.3	gene-LOC101159263	2343	6033	yes	1505	451	19	368
rna-XM_023956848.1	gene-LOC101159504	3999	151125	no	2565	693	48	693
rna-XM_023956847.1	gene-LOC101159504	4242	151124	yes	2731	736	49	726
rna-XM_023956849.1	gene-LOC101159504	3483	149062	no	2250	582	45	606
rna-XM_023956850.1	gene-tmem269	726	8749	yes	464	118	12	132
rna-XM_023956854.1	gene-hspg2	11046	130603	no	7150	1927	155	1814
rna-XM_023956857.1	gene-hspg2	11019	130603	no	7132	1918	156	1813
rna-XM_023956858.1	gene-hspg2	11001	130603	no	7124	1910	154	1813
rna-XM_023956853.1	gene-hspg2	11061	130603	no	7162	1926	155	1818
rna-XM_023956859.1	gene-hspg2	10974	130603	no	7105	1910	155	1804
rna-XM_023956856.1	gene-hspg2	11022	130603	no	7135	1920	155	1812
rna-XM_023956851.1	gene-hspg2	11079	130603	yes	7173	1929	156	1821
rna-XM_023956864.1	gene-hspg2	10647	130602	no	6900	1847	155	1745
rna-XM_023956862.1	gene-hspg2	10665	130602	no	6911	1850	156	1748
rna-XM_023956861.1	gene-hspg2	10749	130602	no	6966	1869	156	1758
rna-XM_023956860.1	gene-hspg2	10788	130602	no	6989	1879	156	1764
rna-XM_023956855.1	gene-hspg2	11031	130602	no	7143	1919	156	1813
rna-XM_023956865.1	gene-LOC111946310	1338	3073	yes	858	249	12	219
rna-XM_004070896.4	gene-LOC101158109	1458	7612	yes	930	277	26	225
rna-XM_023956866.1	gene-LOC101158109	1455	7612	no	928	276	26	225
rna-XM_004070897.4	gene-cptp	657	4618	yes	419	128	6	104
rna-XM_004070898.4	gene-ints11	1800	15477	yes	1181	320	38	261
rna-XM_004070986.3	gene-LOC101160238	966	2339	yes	623	157	27	159
rna-XM_023956870.1	gene-vwa5b1	3816	51382	no	2474	687	64	591
rna-XM_023956869.1	gene-vwa5b1	3816	51382	yes	2474	687	64	591
rna-XM_020704888.2	gene-mul1	1059	6792	no	667	213	17	162
rna-XM_011477557.3	gene-mul1	1131	5319	no	712	229	17	173
rna-XM_011477556.3	gene-mul1	1149	5318	yes	723	233	18	175
rna-XM_011477558.3	gene-fam43b	981	2464	yes	626	195	15	145
rna-XM_011477561.3	gene-LOC101160980	795	15176	yes	519	133	19	124
rna-XM_020704889.2	gene-LOC101161242	798	3872	yes	526	139	16	117
rna-XM_004070899.3	gene-pink1	1734	8025	yes	1088	326	21	299
rna-XM_004070900.3	gene-agmat	1065	10967	yes	681	175	17	192
rna-XM_004070901.4	gene-LOC101159587	1356	2507	yes	881	230	26	219
rna-XM_023956247.1	gene-LOC111947621	1383	4349	yes	865	355	12	151
rna-XM_023956872.1	gene-LOC101161486	2520	79586	yes	1602	527	39	352
rna-XM_023956873.1	gene-LOC101161486	2517	79586	no	1600	527	39	351
rna-XM_023956877.1	gene-LOC101161728	3303	12732	no	2142	549	45	567
rna-XM_023956874.1	gene-LOC101161728	3306	12731	yes	2144	550	45	567
rna-XM_023956876.1	gene-LOC101161728	3303	12731	no	2142	549	45	567
rna-XM_004070902.4	gene-sdf4	1074	8548	yes	699	239	12	124
rna-XM_004070903.3	gene-c1qtnf12	957	31062	yes	612	166	14	165
rna-XM_004070993.4	gene-LOC101162211	1203	8852	yes	776	243	18	166
rna-XM_011477567.3	gene-LOC101162448	2391	107728	yes	1537	432	38	384
rna-XM_023956879.1	gene-klhl21	1836	21275	yes	1193	330	14	299
rna-XM_023956880.1	gene-klhl21	1836	12679	no	1193	330	14	299
rna-XM_004086297.4	gene-LOC101161711	1944	8887	yes	1238	401	14	291
rna-XM_004086291.3	gene-nol9	2106	7881	yes	1335	391	21	359
rna-XM_023956883.1	gene-plekhg5	3372	90700	no	2128	689	36	519
rna-XM_023956884.1	gene-plekhg5	3348	90267	no	2107	664	40	537
rna-XM_023956882.1	gene-plekhg5	3408	68675	no	2153	692	37	526
rna-XM_023956881.1	gene-plekhg5	3414	70043	yes	2157	693	37	527
rna-XM_023956885.1	gene-plekhg5	3216	44179	no	2028	655	36	497
rna-XM_011472918.3	gene-LOC105353646	819	6432	yes	529	156	12	122
rna-XM_020701589.2	gene-LOC101161224	1065	51558	yes	675	216	12	162
rna-XM_023956887.1	gene-LOC101160967	939	3111	yes	611	165	7	156
rna-XM_011472913.3	gene-LOC100301586	918	9291	yes	605	169	10	134
rna-NM_001160435.1	gene-LOC100301586	870	8576	no	574	159	9	128
rna-XM_011472914.3	gene-LOC105353645	2460	71143	yes	1580	490	39	351
rna-XM_004086290.4	gene-cbln4	582	18876	yes	380	99	10	93
rna-XM_004086293.4	gene-LOC101160718	765	1992	yes	504	138	13	110
rna-XM_004086289.4	gene-pfdn4	411	6048	yes	267	84	9	51
rna-XM_023956893.1	gene-LOC101170974	1302	19822	no	853	204	4	241
rna-XM_023956894.1	gene-LOC101170974	1287	19821	no	841	205	4	237
rna-XM_023956889.1	gene-LOC101170974	1383	19820	yes	904	217	4	258
rna-XM_023956890.1	gene-LOC101170974	1347	19820	no	881	213	4	249
rna-XM_023956892.1	gene-LOC101170974	1341	19819	no	875	209	4	253
rna-XM_023956895.1	gene-LOC101170974	1263	19816	no	826	197	4	236
rna-XM_023956891.1	gene-LOC101170974	1344	19815	no	877	210	4	253
rna-XM_023956896.1	gene-znf217	2790	7581	yes	1789	518	16	467
rna-XM_023956898.1	gene-znf217	2790	7581	no	1789	518	16	467
rna-XM_023956899.1	gene-znf217	2790	7581	no	1789	518	16	467
rna-XM_023956900.1	gene-znf217	2790	7581	no	1789	518	16	467
rna-XM_023956901.1	gene-znf217	2790	7292	no	1789	518	16	467
rna-XM_004070997.4	gene-tshz2	3042	53927	yes	1964	605	30	443
rna-XM_011477592.3	gene-zfp64	1956	6058	no	1253	361	19	323
rna-XM_004071025.4	gene-zfp64	1956	6058	yes	1253	361	19	323
rna-XM_023956902.1	gene-zfp64	1956	6058	no	1253	361	19	323
rna-XM_011477594.3	gene-sall4	3207	6623	yes	2109	541	41	516
rna-XM_004070999.4	gene-sall4	3204	6622	no	2107	541	41	515
rna-XM_011477596.3	gene-sall4	3168	6233	no	2084	530	41	513
rna-XM_004070998.3	gene-atp9a	3141	46293	yes	2011	566	63	501
rna-XM_020704897.2	gene-LOC101171005	2661	36495	no	1731	453	38	439
rna-XM_011477599.3	gene-LOC101171005	2610	36494	no	1695	449	37	429
rna-XM_011477597.3	gene-LOC101171005	2688	24616	yes	1744	464	37	443
rna-XM_004071026.4	gene-LOC101171005	2682	24613	no	1741	461	37	443
rna-XM_004071027.4	gene-kcng1	1545	18285	yes	977	276	24	268
rna-XM_011477600.3	gene-LOC101164480	1656	39720	yes	1056	305	19	276
rna-XM_011477601.3	gene-LOC101164480	1638	39720	no	1046	298	19	275
rna-XM_011477602.3	gene-LOC101164480	1629	39719	no	1041	298	19	271
rna-XM_004071000.4	gene-LOC101164480	1611	39719	no	1031	291	19	270
rna-XM_011477605.3	gene-LOC101171492	3837	31850	no	2464	757	39	577
rna-XM_023956905.1	gene-LOC101171492	3840	31849	no	2466	757	39	578
rna-XM_020704899.2	gene-LOC101171492	3834	31849	no	2463	754	39	578
rna-XM_011477604.3	gene-LOC101171492	3840	31849	yes	2466	757	39	578
rna-XM_011477606.3	gene-LOC101171492	3759	31847	no	2412	745	39	563
rna-XM_004071001.4	gene-LOC101164726	1308	9516	yes	860	251	28	169
rna-XM_023956908.1	gene-taf8	930	9745	yes	599	153	10	168
rna-XM_023956909.1	gene-taf8	927	9745	no	597	152	10	168
rna-XM_004071003.4	gene-LOC101165235	1341	9372	yes	867	222	20	232
rna-XM_011477635.3	gene-gdi1	1344	8379	yes	878	244	29	193
rna-XM_011477610.3	gene-itih6	3579	15416	no	2310	589	46	634
rna-XM_011477609.3	gene-itih6	3630	15416	yes	2342	600	46	642
rna-XM_004071004.4	gene-pfkfb1	1383	18112	no	886	284	29	184
rna-XM_004071005.4	gene-pfkfb1	1431	11220	yes	913	292	30	196
rna-XM_020704902.2	gene-LOC110015389	981	1640	yes	633	192	25	131
rna-XM_023956249.1	gene-LOC111947623	813	3072	yes	527	161	18	107
rna-XM_023956912.1	gene-LOC110015388	981	1495	yes	633	194	22	132
rna-XM_004071034.4	gene-LOC101173225	768	2262	yes	498	152	20	98
rna-XM_004071035.4	gene-LOC101173467	981	1574	yes	631	197	22	131
rna-XM_023956913.1	gene-LOC101173705	1599	7842	yes	1042	296	36	225
rna-XM_023956257.1	gene-LOC101173941	981	1675	yes	631	194	26	130
rna-XM_023956914.1	gene-LOC111947673	930	2300	yes	592	207	18	113
rna-XM_011493017.3	gene-LOC101173908	1008	1390	yes	644	203	24	137
rna-XM_004071007.4	gene-LOC101166131	1056	1511	yes	680	201	31	144
rna-XM_011477614.3	gene-wisp2	1059	11851	yes	676	198	4	181
rna-XM_004071008.3	gene-ada	1173	25592	yes	753	227	18	175
rna-XM_020704905.2	gene-pkig	237	3041	yes	159	33	3	42
rna-XM_004071011.4	gene-ttpal	1032	8976	yes	655	191	19	167
rna-XM_011477617.3	gene-ttpal	1032	8976	no	655	191	19	167
rna-XM_023956917.1	gene-hnf4a	1383	36533	yes	882	271	30	200
rna-XM_023956919.1	gene-hnf4a	1320	20982	no	839	261	30	190
rna-XM_023956918.1	gene-hnf4a	1362	7889	no	868	267	30	197
rna-XM_023956921.1	gene-fitm2	783	3716	yes	500	127	12	144
rna-XM_004071012.4	gene-gdap1l1	1101	23634	yes	709	224	14	154
rna-XM_004071041.4	gene-jph2	2292	27470	yes	1494	363	27	408
rna-XM_023956924.1	gene-LOC101175403	1350	2649	no	875	231	26	218
rna-XM_023956923.1	gene-LOC101175403	1350	10594	no	876	230	26	218
rna-XM_023956922.1	gene-LOC101175403	1356	2749	yes	881	229	27	219
